COMPUTATIONAL INTELLIGENCE PROJECT REPORT
=========================================
Student: s347245
Parameters: Alpha=1.00, Beta=2.00, Density=0.20, Cities=1000
Execution Time: 571.8075 seconds
=========================================

PERFORMANCE COMPARISON
-------------------------
 - Baseline Cost:       37,545,927.7
 - Algorithm Cost:      26,178,730.7
 - Absolute Improvement: 11,367,197.0
 - % Improvement:       30.28%
 - Result:              IMPROVEMENT

CITY COVERAGE DETAIL:
City ID    | Available    | % Collected  | Visits  
156        | 857.0        | 100.0        | 4       
157        | 98.8         | 100.0        | 1       
158        | 276.6        | 100.0        | 5       
159        | 414.8        | 100.0        | 1       
160        | 43.4         | 100.0        | 1       
161        | 448.8        | 100.0        | 7       
162        | 265.9        | 100.0        | 1       
163        | 393.3        | 100.0        | 1       
164        | 425.7        | 100.0        | 9       
165        | 879.5        | 100.0        | 2       
166        | 271.1        | 100.0        | 1       
167        | 893.8        | 100.0        | 2       
168        | 426.5        | 100.0        | 1       
169        | 328.5        | 100.0        | 1       
170        | 503.0        | 100.0        | 3       
171        | 418.3        | 100.0        | 1       
172        | 258.1        | 100.0        | 1       
173        | 503.2        | 100.0        | 1       
174        | 152.6        | 100.0        | 1       
175        | 352.6        | 100.0        | 1       
176        | 566.2        | 100.0        | 1       
177        | 414.0        | 100.0        | 169     
178        | 824.1        | 100.0        | 2       
179        | 257.5        | 100.0        | 3       
180        | 969.8        | 100.0        | 2       
181        | 784.9        | 100.0        | 2       
182        | 967.6        | 100.0        | 2       
183        | 838.3        | 100.0        | 2       
184        | 143.0        | 100.0        | 1       
185        | 526.9        | 100.0        | 17      
186        | 170.8        | 100.0        | 7       
187        | 818.4        | 100.0        | 2       
188        | 584.6        | 100.0        | 1       
189        | 264.2        | 100.0        | 3       
190        | 929.7        | 100.0        | 2       
191        | 116.1        | 100.0        | 1       
192        | 564.3        | 100.0        | 1       
193        | 721.3        | 100.0        | 3       
194        | 59.8         | 100.0        | 1       
195        | 598.3        | 100.0        | 1       
196        | 816.1        | 100.0        | 6       
197        | 68.5         | 100.0        | 1       
198        | 512.7        | 100.0        | 9       
199        | 259.3        | 100.0        | 63      
200        | 663.3        | 100.0        | 1       
201        | 119.6        | 100.0        | 3       
202        | 937.1        | 100.0        | 2       
203        | 894.8        | 100.0        | 2       
204        | 186.8        | 100.0        | 1       
205        | 323.9        | 100.0        | 1       
206        | 588.0        | 100.0        | 3       
207        | 718.3        | 100.0        | 1       
208        | 443.2        | 100.0        | 1       
209        | 157.1        | 100.0        | 1       
210        | 105.0        | 100.0        | 1       
211        | 999.8        | 100.0        | 2       
212        | 455.9        | 100.0        | 1       
213        | 872.7        | 100.0        | 2       
214        | 482.9        | 100.0        | 1       
215        | 922.4        | 100.0        | 2       
216        | 88.7         | 100.0        | 1       
217        | 114.9        | 100.0        | 1       
